FR,RU_GOLD,RU_MT,FR_TERMS,RU_TERMS_GOLD,COMET_MT,TER_MT,RU_PE,COMET_PE,TER_PE
"3. Nous réaffirmons notre engagement à mettre en œuvre intégralement la Déclaration et le Plan d'action contenus dans le document final de la vingt-septième session extraordinaire de l'Assemblée générale consacrée aux enfants intitulé « Un monde digne des enfants »Résolution S-27/2, annexe., reconnaissant que leur mise en œuvre et le respect des obligations découlant de la Convention relative aux droits de l'enfantNations Unies, Recueil des Traités, vol. 1577, no 27531., de ses protocoles facultatifsIbid., vol. 2171 et 2173, no 27531. et des autres instruments internationaux pertinents concourent ensemble à protéger les droits de tous les enfants et à promouvoir leur bien-être. Dans toutes nos actions, l'intérêt supérieur des enfants sera une considération primordiale.","3. Мы подтверждаем свою приверженность полному осуществлению Декларации и Плана действий, содержащихся в заключительном документе двадцать седьмой специальной сессии Генеральной Ассамблеи по положению детей, озаглавленном «Мир, пригодный для жизни детей»Резолюция S-27/2, приложение., исходя из того, что их осуществление и выполнение обязательств по Конвенции о правах ребенкаUnited Nations, Treaty Series, vol. 1577, No. 27531., Факультативным протоколам к нейIbid., vol. 2171, No. 27531; and ibid., vol. 2173, No. 27531. и другим соответствующим международным документам в комплексе способствуют усилению защиты прав всех детей и улучшению их благополучия. Во всех наших действиях мы обязательно будем учитывать интересы детей.","3. Мы вновь подтверждаем нашу приверженность всесторонне осуществить Декларацию и План действий, содержащиеся в итоговом документе двадцать седьмой внеочередной сессии Генеральной Ассамблеи, посвященной детям, под названием «Мир, достойный детей» Резолюция S-27/2, приложение, признавая, что их осуществление и соблюдение обязательств, вытекающих из Конвенции о правах ребенка Организации Объединенных Наций, Сборник договоров, том 1577, № 27531, протоколов к ней Ibid., том 2171 и 2173, № 27531 и других соответствующих международных документов вместе содействуют защите прав всех детей и содействуют их благополучию. В наших действиях интересы детей будут иметь первостепенное значение.","[""Plan d'action"", ""Convention relative aux droits de l'enfant"", 'Assemblée générale', 'RÉSOLUTION', 'Annexe']","['План действий', 'Конвенция о правах ребенка', 'Генеральная Ассамблея', 'РЕЗОЛЮЦИЯ', 'Приложение']",0.6694040298461914,69.14893617021278,"Мы снова подтверждаем, что будем активно работать над реализацией Декларации и Плана действий из документа «Мир, достойный детей» от сессии Генеральной Ассамблеи для детей, где говорится, что выполнение обязательств по Конвенции о правах ребенка и других международных документов поможет защитить права всех детей и улучшить их жизнь. В наших действиях дети всегда будут первыми.",-0.5421825647354126,79.7872340425532
"4. Pour que les objectifs de la session extraordinaire consacrée aux enfants soient atteints, il est vital que les gouvernements intensifient leur action dans différents secteurs, que la coopération internationale soit renforcée, que se forgent des partenariats plus vastes et mieux ciblés, notamment avec les médias et le secteur privé, et que des initiatives mondiales, régionales et nationales soient lancées. Nous réaffirmons notre volonté de nous employer à réaliser les objectifs et les actions convenus au niveau mondial afin de mobiliser des ressources pour les enfants, conformément à « Un monde digne des enfants ».","4. Для достижения целей, поставленных на специальной сессии по положению детей, абсолютно необходимы более масштабные межсекторальные меры правительств, более активное международное сотрудничество и более широкое и более целенаправленное партнерское взаимодействие, в том числе со средствами массовой информации и частным сектором, а также глобальные, региональные и национальные инициативы. Мы подтверждаем свою твердую решимость добиваться достижения согласованных глобальных целей и принимать необходимые меры по мобилизации ресурсов на удовлетворение нужд детей в соответствии с документом, озаглавленным «Мир, пригодный для жизни детей».","4. Для достижения целей специальной сессии, посвященной детям, необходимо, чтобы правительства активизировали свою деятельность в различных областях, что международное сотрудничество будет укрепляться, что будут формироваться более широкие и целенаправленные партнерства, в частности, с медиа и частным сектором, и что будут запускаться глобальные, региональные и национальные инициативы. Мы вновь заявляем о нашей готовности работать над достижением согласованных на глобальном уровне целей и действий, чтобы мобилизовать ресурсы для детей в соответствии с «Детям достойный мир».",[],[],0.6254637837409973,75.64102564102564,"Чтобы помочь детям добиться успеха на специальной сессии, правительствам нужно активнее работать в разных сферах — укреплять международное сотрудничество, создавать широкие партнерства с медиа и бизнесом, а также запускать глобальные, региональные и национальные проекты. Мы снова говорим о готовности работать над согласованными глобальными целями и действиями, чтобы собрать ресурсы для детей в рамках «Детям достойный мир».",0.3662934899330139,83.33333333333334
"5. Accueillant favorablement les voix et les vues des enfants, notamment des adolescents, qui ont été entendus lors de la séance plénière commémorative, nous ferons notre possible pour renforcer la participation des enfants à la prise des décisions qui les concernent, d'une façon qui corresponde à leur âge et à leur degré de maturité.","5. Мы приветствуем мнения и соображения, высказанные детьми, в том числе подростками, на торжественном пленарном заседании, и будем стремиться расширять их участие в принятии решений, которые их затрагивают, с учетом их возраста и степени зрелости.","5. Приветствуя мнения и взгляды детей, в частности подростков, которые были высказаны на памятной пленарной сессии, мы будем делать все возможное для того, чтобы усилить участие детей в принятии решений, касающихся их, в соответствии с их возрастом и уровнем зрелости.",['séance plénière'],['пленарное заседание'],0.7843406796455383,82.85714285714286,"Приветствуем мнения и взгляды детей, особенно подростков, которые высказали на памятной пленарной сессии — будем делать всё, чтобы они больше участвовали в принятии решений, которые касаются их самих, учитывая их возраст и уровень зрелости.",0.6502581238746643,71.42857142857143
"6. Nous réaffirmons notre volonté politique d'intensifier l'action que nous menons afin de bâtir un monde digne des enfants. Nous sommes convaincus que nos aspirations collectives seront réalisées si toutes les parties intéressées, et notamment la société civile, agissent à l'unisson en faveur des enfants. Toutes nos politiques et tous nos programmes devraient promouvoir la responsabilité conjointe des parents, des familles, des tuteurs légaux et des autres dispensateurs de soins, et de la société en général dans ce domaine, sans oublier qu'un enfant doit grandir dans un cadre familial sûr et porteur. En donnant un rang de priorité élevé aux droits des enfants, à leur survie, à leur protection et à leur développement, nous servons l'intérêt supérieur de l'humanité tout entière. Solidaires et animés par le même sentiment d'urgence, nous œuvrerons pour notre but commun, qui est d'assurer le bien-être de tous les enfants dans toutes les sociétés.","6. Мы вновь заявляем о своей политической воле и желании активнее строить мир, пригодный для жизни детей. Мы убеждены в том, что наши коллективные чаяния сбудутся, если все соответствующие субъекты, включая гражданское общество, объединят свои усилия на благо детей. Все наши стратегии и программы должны быть направлены на утверждение принципа общей ответственности в этом деле родителей, семьи, опекунов и других попечителей и общества в целом с учетом того, что ребенок должен расти в семье, обеспечивающей благополучие и заботу. Уделяя большое внимание правам детей, их выживанию, защите и развитию, мы служим интересам всего человечества. Мы будем сообща стремиться к достижению нашей общей высшей цели - обеспечению благополучия всех детей во всех странах, исходя из коллективного понимания неотложности этой задачи.","6. Мы вновь заявляем о нашей политической воле усилить действия, которые мы предпринимаем для того, чтобы построить мир, достойный детей. Мы убеждены, что наши коллективные устремления будут реализованы, если все заинтересованные стороны, в частности гражданское общество, будут действовать сообща в интересах детей. Все наши политики и программы должны способствовать совместной ответственности родителей, семей, законных опекунов и других попечителей, а также общества в целом в этой области, не забывая, что ребенок должен расти в безопасной и благоприятной семейной обстановке. Придавая высокий приоритет правам детей, их выживанию, защите и развитию, мы служим высшим интересам всего человечества. Солидарные и настроенные на то же чувство срочности, мы будем работать над нашей общей целью, которая заключается в обеспечении благополучия всех детей во всех обществах.",[],[],0.8194477558135986,62.71186440677966,"Мы снова говорим о том, что хотим сделать мир лучше для детей — настоящий, безопасный и добрый. Мы уверены, что если все вместе — граждане, семьи, общество — будем действовать сообща, то добьемся этого. Все наши планы и законы должны помогать родителям, семьям, опекунам и обществу заботиться о детях, создавая вокруг них комфортную среду. При этом мы всегда помним, что детям нужны любовь, безопасность и возможности расти здоровыми. Работая вместе и с одной целью — обеспечить детям хорошее будущее во всех странах — мы сделаем мир лучше для всех.",0.6138967275619507,87.28813559322035
RÉSOLUTION 62/89,РЕЗОЛЮЦИЯ 62/89,Французский: РЕЗОЛЮЦИЯ 62/89,['RÉSOLUTION'],['РЕЗОЛЮЦИЯ'],0.6282572746276855,50.0,"Резолюция №62/89, короче говоря.",0.6523558497428894,150.0
"Adoptée à la 74e séance plénière, le 17 décembre 2007, sans avoir été mise aux voix, sur la base du projet de résolution A/62/L.6 et Add.1, ayant pour auteurs les pays suivants : Afghanistan, Afrique du Sud, Algérie, Angola, Antigua-et-Barbuda, Argentine, Azerbaïdjan, Bahamas, Bahreïn, Bangladesh, Barbade, Bélarus, Belize, Bénin, Bhoutan, Bolivie, Botswana, Brésil, Brunéi Darussalam, Burkina Faso, Burundi, Cambodge, Cap-Vert, Chili, Chine, Colombie, Congo, Costa Rica, Côte d'Ivoire, Djibouti, Dominique, Égypte, El Salvador, Émirats arabes unis, Équateur, Érythrée, Éthiopie, ex-République yougoslave de Macédoine, Fédération de Russie, Fidji, Gabon, Gambie, Géorgie, Ghana, Grenade, Guatemala, Guinée, Guinée-Bissau, Guyana, Honduras, Îles Marshall, Îles Salomon, Inde, Indonésie, Iran (République islamique d'), Iraq, Jamahiriya arabe libyenne, Jamaïque, Jordanie, Kazakhstan, Kenya, Kirghizistan, Koweït, Lesotho, Liban, Libéria, Madagascar, Malaisie, Malawi, Maldives, Mali, Maroc, Maurice, Mauritanie, Mexique, Mongolie, Monténégro, Mozambique, Myanmar, Namibie, Népal, Nicaragua, Nigéria, Oman, Ouzbékistan, Pakistan, Panama, Paraguay, Pérou, Philippines, République arabe syrienne, République centrafricaine, République démocratique du Congo, République dominicaine, République populaire démocratique de Corée, Sainte-Lucie, Saint-Kitts-et-Nevis, Saint-Vincent-et-les Grenadines, Samoa, Sénégal, Sierra Leone, Singapour, Soudan, Sri Lanka, Suriname, Tadjikistan, Tchad, Thaïlande, Togo, Trinité-et-Tobago, Tunisie, Turkménistan, Turquie, Uruguay, Vanuatu, Viet Nam, Yémen, Zambie, Zimbabwe","Принята без голосования на 74-м пленарном заседании 17 декабря 2007 года по проекту резолюции A/62/L.6 и Add.1; его авторы: Азербайджан, Алжир, Ангола, Антигуа и Барбуда, Аргентина, Афганистан, Багамские Острова, Бангладеш, Барбадос, Бахрейн, Беларусь, Белиз, Бенин, Боливия, Ботсвана, Бразилия, Бруней-Даруссалам, Буркина-Фасо, Бурунди, Бутан, бывшая югославская Республика Македония, Вануату, Вьетнам, Габон, Гайана, Гамбия, Гана, Гватемала, Гвинея, Гвинея-Бисау, Гондурас, Гренада, Грузия, Демократическая Республика Конго, Джибути, Доминика, Доминиканская Республика, Египет, Замбия, Зимбабве, Индия, Индонезия, Иордания, Ирак, Иран (Исламская Республика), Йемен, Кабо-Верде, Казахстан, Камбоджа, Кения, Китай, Колумбия, Конго, Корейская Народно-Демократическая Республика, Коста-Рика, Кот-д'Ивуар, Кувейт, Кыргызстан, Лесото, Либерия, Ливан, Ливийская Арабская Джамахирия, Маврикий, Мавритания, Мадагаскар, Малави, Малайзия, Мали, Мальдивские Острова, Марокко, Маршалловы Острова, Мексика, Мозамбик, Монголия, Мьянма, Намибия, Непал, Нигерия, Никарагуа, Объединенные Арабские Эмираты, Оман, Пакистан, Панама, Парагвай, Перу, Российская Федерация, Сальвадор, Самоа, Сенегал, Сент-Винсент и Гренадины, Сент-Китс и Невис, Сент-Люсия, Сингапур, Сирийская Арабская Республика, Соломоновы Острова, Судан, Суринам, Сьерра-Леоне, Таджикистан, Таиланд, Того, Тринидад и Тобаго, Тунис, Туркменистан, Турция, Узбекистан, Уругвай, Фиджи, Филиппины, Центральноафриканская Республика, Чад, Черногория, Чили, Шри-Ланка, Эквадор, Эритрея, Эфиопия, Южная Африка, Ямайка","Принята на 74-й пленарной сессии 17 декабря 2007 года без голосования на основе проекта резолюции A/62/L.6 и Add.1, автором которых являются следующие страны: Афганистан, Африка Южная, Алжир, Ангола, Антигуа и Барбуда, Аргентина, Азербайджан, Багамские Острова, Бахрейн, Бангладеш, Барбадос, Беларусь, Белиз, Бенин, Бутан, Боливия, Бotswana, Бразилия, Бруней Даруссалам, Буркина-Фасо, Бурунди, Камбоджа, Кабо-Верде, Чили, Китай, Колумбия, Конго, Коста-Рика, Кот-д'Ивуар, Джибути, Доминика, Египет, Эль-Сальвадор, ОАЭ, Эквадор, Эритрея, Эфиопия, бывшая югославская республика Македония, Федеративная Россия, Фиджи, Габон, Гамбия, Грузия, Ганы, Гренада, Гватемала, Гвинея, Гвинея-Бисау, Гайана, Хондурас, Маршалловы Острова, Соломоновы Острова, Индия, Индонезия, Иран (Исламская Республика), Ирак, Ирак, Джамахирия, Ямайка, Иордания, Казахстан, Кения, Киргизия, Кувейт, Лесото, Ливан, Либерия, Мадагаскар, Малайзия, Малави, Мальдивы, Мали, Марокко, Маврикий, Мексика, Монголия, Монтенегро, Мозамбик, Мьянма, Намибия, Непал, Никарагуа, Нигерия, Оман, Ош, Пакистан, Панама, Парагвай, Перу, Филиппины, Сирийская Арабская Республика, Центральноафриканская Республика, Конго, Демократическая Республика Конго, Доминиканская Республика, Корейская Народная Демократическая Республика, Сент-Люсия, Сент-Китс и Невис, Сент-Винсент и Гренадины, Самоа, Сенегал, Сьерра-Леоне, Сингапур, Судан, Шри-Ланка, Суринам, Таджикистан, Того, Тринидад и Тобаго, Тунис, Туркменистан, Турция, Уругвай, Вануату, Вьетнам, Йемен, Замбия, Зимбабве","['sans avoir été mise aux voix', 'RÉSOLUTION', 'séance plénière']","['без голосования', 'РЕЗОЛЮЦИЯ', 'пленарное заседание']",1.0304226875305176,75.7396449704142,"Принята на сессии 74-го пленума 17 декабря 2007 года без голосования по проекту резолюции A/62/L.6 и Add.1, автором которой стали куча стран: Афганистан, Южная Африка, Алжир, Ангола, Антигуа и Барбуда, Аргентина, Азербайджан, Багамские Острова, Бахрейн, Бангладеш, Барбадос, Беларусь, Белиз, Бенин, Бутан, Боливия, Ботсвана, Бразилия, Бруней, Буркина-Фасо, Бурунди, Камбоджа, Кабо-Верде, Чили, Китай, Колумбия, Конго, Коста-Рика, Кот-д'Ивуар, Джибути, Доминика, Египет, Сальвадор, ОАЭ, Эквадор, Эритрея, Эфиопия, бывшая Югославская Республика Македония, Россия, Фиджи, Габон, Гамбия, Грузия, Ганы, Гренада, Гватемала, Гвинея, Гвинея-Бисау, Гайана, Гондурас, Маршалловы Острова, Соломоновы Острова, Индия, Индонезия, Иран, Ирак, Йемен, Ямайка, Иордания, Казахстан, Кения, Киргизия, Кувейт, Лесото, Ливан, Либерия, Мадагаскар, Малайзия, Малави, Мальдивы, Мали, Марокко, Маврикий, Мексика, Монголия, Монтенегро, Мозамбик, Мьянма, Намибия, Непал, Никарагуа, Нигерия, Оман, Пакистан, Панама, Парагвай, Перу, Филиппины, Сирия, Центральноафриканская Республика, Демократическая Республика Конго, Доминиканская Республика, Северная Корея, Сент-Люсия, Сент-Китс и Невис, Сент-Винсент и Гренадины, Самоа, Сенегал, Сьерра-Леоне, Сингапур, Судан, Шри-Ланка, Суринам, Таджикистан, Того, Тринидад и Тобаго, Тунис, Туркменистан, Турция, Уругвай, Вануату, Вьетнам, Замбия, Зимбабве.",1.0337272882461548,65.68047337278107
"62/89. Décennie internationale de la promotion d'une culture de la paix et de la non-violence au profit des enfants du monde, 2001-2010","62/89. Международное десятилетие культуры мира и ненасилия в интересах детей планеты, 2001-2010 годы","62/89. Международное десятилетие поощрения культуры мира и ненасилия в интересах детей мира, 2001-2010","[""Décennie internationale de la promotion d'une culture de la paix et de la non-violence au profit des enfants du monde""]",['Международное десятилетие культуры мира и ненасилия в интересах детей планеты'],0.9078292846679688,23.07692307692308,"62/89. Десять лет, когда мир старался сделать мир лучше для детей — с 2001 по 2010 год.",-0.2440865933895111,115.38461538461537
"L'Assemblée générale,","Генеральная Ассамблея,","Генеральная Ассамблея,",['Assemblée générale'],['Генеральная Ассамблея'],1.3165725469589231,0.0,"Генеральная Ассамблея — это как главный совет ООН, где обсуждают важные дела мира.",-0.9590944051742554,600.0
"Ayant à l'esprit la Charte des Nations Unies, notamment les buts et principes qui y sont énoncés, en particulier la volonté affirmée de préserver les générations futures du fléau de la guerre,","принимая во внимание Устав Организации Объединенных Наций, в том числе воплощенные в нем цели и принципы, и особенно решимость избавить грядущие поколения от бедствий войны,","С учетом Устава Организации Объединенных Наций, в частности целей и принципов, изложенных в нем, и особенно с учетом заявленной воли сохранить будущие поколения от бедствия войны,",['Charte des Nations Unies'],['Устав Организации Объединенных Наций'],0.81116783618927,72.0,"С учетом Устава ООН, особенно его целей и принципов, а главное — чтобы защитить будущее поколение от войны.",-0.35741671919822693,96.0
"Rappelant l'Acte constitutif de l'Organisation des Nations Unies pour l'éducation, la science et la culture, qui déclare que « les guerres prenant naissance dans l'esprit des hommes, c'est dans l'esprit des hommes que doivent être élevées les défenses de la paix »,","ссылаясь на Устав Организации Объединенных Наций по вопросам образования, науки и культуры, который гласит: «поскольку мысли о войне возникают в умах людей, поэтому в сознании людей следует укоренять идею защиты мира»,","Напоминая о Уставе Организации Объединенных Наций по вопросам образования, науки и культуры, в котором говорится, что «поскольку войны возникают в умах людей, то в умах людей должны быть подготовлены средства к миру»,",['Organisation des Nations Unies'],['Организация Объединенных Наций'],0.5927647352218628,54.83870967741935,"А вот как это можно сказать проще: ""Помню, как в Уставе ООН по образованию, науке и культуре написано, что войны начинаются в головах людей, поэтому там же советуют готовить их к миру изнутри"".",-0.2640874683856964,96.7741935483871
