FR,RU_GOLD,RU_MT,FR_TERMS,RU_TERMS_GOLD,COMET_MT,TER_MT
"3. Nous réaffirmons notre engagement à mettre en œuvre intégralement la Déclaration et le Plan d'action contenus dans le document final de la vingt-septième session extraordinaire de l'Assemblée générale consacrée aux enfants intitulé « Un monde digne des enfants »Résolution S-27/2, annexe., reconnaissant que leur mise en œuvre et le respect des obligations découlant de la Convention relative aux droits de l'enfantNations Unies, Recueil des Traités, vol. 1577, no 27531., de ses protocoles facultatifsIbid., vol. 2171 et 2173, no 27531. et des autres instruments internationaux pertinents concourent ensemble à protéger les droits de tous les enfants et à promouvoir leur bien-être. Dans toutes nos actions, l'intérêt supérieur des enfants sera une considération primordiale.","3. Мы подтверждаем свою приверженность полному осуществлению Декларации и Плана действий, содержащихся в заключительном документе двадцать седьмой специальной сессии Генеральной Ассамблеи по положению детей, озаглавленном «Мир, пригодный для жизни детей»Резолюция S-27/2, приложение., исходя из того, что их осуществление и выполнение обязательств по Конвенции о правах ребенкаUnited Nations, Treaty Series, vol. 1577, No. 27531., Факультативным протоколам к нейIbid., vol. 2171, No. 27531; and ibid., vol. 2173, No. 27531. и другим соответствующим международным документам в комплексе способствуют усилению защиты прав всех детей и улучшению их благополучия. Во всех наших действиях мы обязательно будем учитывать интересы детей.","3. Мы вновь подтверждаем нашу приверженность всесторонне осуществить Декларацию и План действий, содержащиеся в итоговом документе двадцать седьмой внеочередной сессии Генеральной Ассамблеи, посвященной детям, под названием «Мир, достойный детей» Резолюция S-27/2, приложение, признавая, что их осуществление и соблюдение обязательств, вытекающих из Конвенции о правах ребенка Организации Объединенных Наций, Сборник договоров, том 1577, № 27531, протоколов к ней Ibid., том 2171 и 2173, № 27531 и других соответствующих международных документов вместе содействуют защите прав всех детей и содействуют их благополучию. В наших действиях интересы детей будут иметь первостепенное значение.","[""Plan d'action"", ""Convention relative aux droits de l'enfant"", 'Assemblée générale', 'RÉSOLUTION', 'Annexe']","['План действий', 'Конвенция о правах ребенка', 'Генеральная Ассамблея', 'РЕЗОЛЮЦИЯ', 'Приложение']",0.6694040298461914,69.14893617021278
"4. Pour que les objectifs de la session extraordinaire consacrée aux enfants soient atteints, il est vital que les gouvernements intensifient leur action dans différents secteurs, que la coopération internationale soit renforcée, que se forgent des partenariats plus vastes et mieux ciblés, notamment avec les médias et le secteur privé, et que des initiatives mondiales, régionales et nationales soient lancées. Nous réaffirmons notre volonté de nous employer à réaliser les objectifs et les actions convenus au niveau mondial afin de mobiliser des ressources pour les enfants, conformément à « Un monde digne des enfants ».","4. Для достижения целей, поставленных на специальной сессии по положению детей, абсолютно необходимы более масштабные межсекторальные меры правительств, более активное международное сотрудничество и более широкое и более целенаправленное партнерское взаимодействие, в том числе со средствами массовой информации и частным сектором, а также глобальные, региональные и национальные инициативы. Мы подтверждаем свою твердую решимость добиваться достижения согласованных глобальных целей и принимать необходимые меры по мобилизации ресурсов на удовлетворение нужд детей в соответствии с документом, озаглавленным «Мир, пригодный для жизни детей».","4. Для достижения целей специальной сессии, посвященной детям, необходимо, чтобы правительства активизировали свою деятельность в различных областях, что международное сотрудничество будет укрепляться, что будут формироваться более широкие и целенаправленные партнерства, в частности, с медиа и частным сектором, и что будут запускаться глобальные, региональные и национальные инициативы. Мы вновь заявляем о нашей готовности работать над достижением согласованных на глобальном уровне целей и действий, чтобы мобилизовать ресурсы для детей в соответствии с «Детям достойный мир».",[],[],0.6254637837409973,75.64102564102564
"5. Accueillant favorablement les voix et les vues des enfants, notamment des adolescents, qui ont été entendus lors de la séance plénière commémorative, nous ferons notre possible pour renforcer la participation des enfants à la prise des décisions qui les concernent, d'une façon qui corresponde à leur âge et à leur degré de maturité.","5. Мы приветствуем мнения и соображения, высказанные детьми, в том числе подростками, на торжественном пленарном заседании, и будем стремиться расширять их участие в принятии решений, которые их затрагивают, с учетом их возраста и степени зрелости.","5. Приветствуя мнения и взгляды детей, в частности подростков, которые были высказаны на памятной пленарной сессии, мы будем делать все возможное для того, чтобы усилить участие детей в принятии решений, касающихся их, в соответствии с их возрастом и уровнем зрелости.",['séance plénière'],['пленарное заседание'],0.7843406796455383,82.85714285714286
"6. Nous réaffirmons notre volonté politique d'intensifier l'action que nous menons afin de bâtir un monde digne des enfants. Nous sommes convaincus que nos aspirations collectives seront réalisées si toutes les parties intéressées, et notamment la société civile, agissent à l'unisson en faveur des enfants. Toutes nos politiques et tous nos programmes devraient promouvoir la responsabilité conjointe des parents, des familles, des tuteurs légaux et des autres dispensateurs de soins, et de la société en général dans ce domaine, sans oublier qu'un enfant doit grandir dans un cadre familial sûr et porteur. En donnant un rang de priorité élevé aux droits des enfants, à leur survie, à leur protection et à leur développement, nous servons l'intérêt supérieur de l'humanité tout entière. Solidaires et animés par le même sentiment d'urgence, nous œuvrerons pour notre but commun, qui est d'assurer le bien-être de tous les enfants dans toutes les sociétés.","6. Мы вновь заявляем о своей политической воле и желании активнее строить мир, пригодный для жизни детей. Мы убеждены в том, что наши коллективные чаяния сбудутся, если все соответствующие субъекты, включая гражданское общество, объединят свои усилия на благо детей. Все наши стратегии и программы должны быть направлены на утверждение принципа общей ответственности в этом деле родителей, семьи, опекунов и других попечителей и общества в целом с учетом того, что ребенок должен расти в семье, обеспечивающей благополучие и заботу. Уделяя большое внимание правам детей, их выживанию, защите и развитию, мы служим интересам всего человечества. Мы будем сообща стремиться к достижению нашей общей высшей цели - обеспечению благополучия всех детей во всех странах, исходя из коллективного понимания неотложности этой задачи.","6. Мы вновь заявляем о нашей политической воле усилить действия, которые мы предпринимаем для того, чтобы построить мир, достойный детей. Мы убеждены, что наши коллективные устремления будут реализованы, если все заинтересованные стороны, в частности гражданское общество, будут действовать сообща в интересах детей. Все наши политики и программы должны способствовать совместной ответственности родителей, семей, законных опекунов и других попечителей, а также общества в целом в этой области, не забывая, что ребенок должен расти в безопасной и благоприятной семейной обстановке. Придавая высокий приоритет правам детей, их выживанию, защите и развитию, мы служим высшим интересам всего человечества. Солидарные и настроенные на то же чувство срочности, мы будем работать над нашей общей целью, которая заключается в обеспечении благополучия всех детей во всех обществах.",[],[],0.8194477558135986,62.71186440677966
RÉSOLUTION 62/89,РЕЗОЛЮЦИЯ 62/89,Французский: РЕЗОЛЮЦИЯ 62/89,['RÉSOLUTION'],['РЕЗОЛЮЦИЯ'],0.6282572746276855,50.0
"Adoptée à la 74e séance plénière, le 17 décembre 2007, sans avoir été mise aux voix, sur la base du projet de résolution A/62/L.6 et Add.1, ayant pour auteurs les pays suivants : Afghanistan, Afrique du Sud, Algérie, Angola, Antigua-et-Barbuda, Argentine, Azerbaïdjan, Bahamas, Bahreïn, Bangladesh, Barbade, Bélarus, Belize, Bénin, Bhoutan, Bolivie, Botswana, Brésil, Brunéi Darussalam, Burkina Faso, Burundi, Cambodge, Cap-Vert, Chili, Chine, Colombie, Congo, Costa Rica, Côte d'Ivoire, Djibouti, Dominique, Égypte, El Salvador, Émirats arabes unis, Équateur, Érythrée, Éthiopie, ex-République yougoslave de Macédoine, Fédération de Russie, Fidji, Gabon, Gambie, Géorgie, Ghana, Grenade, Guatemala, Guinée, Guinée-Bissau, Guyana, Honduras, Îles Marshall, Îles Salomon, Inde, Indonésie, Iran (République islamique d'), Iraq, Jamahiriya arabe libyenne, Jamaïque, Jordanie, Kazakhstan, Kenya, Kirghizistan, Koweït, Lesotho, Liban, Libéria, Madagascar, Malaisie, Malawi, Maldives, Mali, Maroc, Maurice, Mauritanie, Mexique, Mongolie, Monténégro, Mozambique, Myanmar, Namibie, Népal, Nicaragua, Nigéria, Oman, Ouzbékistan, Pakistan, Panama, Paraguay, Pérou, Philippines, République arabe syrienne, République centrafricaine, République démocratique du Congo, République dominicaine, République populaire démocratique de Corée, Sainte-Lucie, Saint-Kitts-et-Nevis, Saint-Vincent-et-les Grenadines, Samoa, Sénégal, Sierra Leone, Singapour, Soudan, Sri Lanka, Suriname, Tadjikistan, Tchad, Thaïlande, Togo, Trinité-et-Tobago, Tunisie, Turkménistan, Turquie, Uruguay, Vanuatu, Viet Nam, Yémen, Zambie, Zimbabwe","Принята без голосования на 74-м пленарном заседании 17 декабря 2007 года по проекту резолюции A/62/L.6 и Add.1; его авторы: Азербайджан, Алжир, Ангола, Антигуа и Барбуда, Аргентина, Афганистан, Багамские Острова, Бангладеш, Барбадос, Бахрейн, Беларусь, Белиз, Бенин, Боливия, Ботсвана, Бразилия, Бруней-Даруссалам, Буркина-Фасо, Бурунди, Бутан, бывшая югославская Республика Македония, Вануату, Вьетнам, Габон, Гайана, Гамбия, Гана, Гватемала, Гвинея, Гвинея-Бисау, Гондурас, Гренада, Грузия, Демократическая Республика Конго, Джибути, Доминика, Доминиканская Республика, Египет, Замбия, Зимбабве, Индия, Индонезия, Иордания, Ирак, Иран (Исламская Республика), Йемен, Кабо-Верде, Казахстан, Камбоджа, Кения, Китай, Колумбия, Конго, Корейская Народно-Демократическая Республика, Коста-Рика, Кот-д'Ивуар, Кувейт, Кыргызстан, Лесото, Либерия, Ливан, Ливийская Арабская Джамахирия, Маврикий, Мавритания, Мадагаскар, Малави, Малайзия, Мали, Мальдивские Острова, Марокко, Маршалловы Острова, Мексика, Мозамбик, Монголия, Мьянма, Намибия, Непал, Нигерия, Никарагуа, Объединенные Арабские Эмираты, Оман, Пакистан, Панама, Парагвай, Перу, Российская Федерация, Сальвадор, Самоа, Сенегал, Сент-Винсент и Гренадины, Сент-Китс и Невис, Сент-Люсия, Сингапур, Сирийская Арабская Республика, Соломоновы Острова, Судан, Суринам, Сьерра-Леоне, Таджикистан, Таиланд, Того, Тринидад и Тобаго, Тунис, Туркменистан, Турция, Узбекистан, Уругвай, Фиджи, Филиппины, Центральноафриканская Республика, Чад, Черногория, Чили, Шри-Ланка, Эквадор, Эритрея, Эфиопия, Южная Африка, Ямайка","Принята на 74-й пленарной сессии 17 декабря 2007 года без голосования на основе проекта резолюции A/62/L.6 и Add.1, автором которых являются следующие страны: Афганистан, Африка Южная, Алжир, Ангола, Антигуа и Барбуда, Аргентина, Азербайджан, Багамские Острова, Бахрейн, Бангладеш, Барбадос, Беларусь, Белиз, Бенин, Бутан, Боливия, Бotswana, Бразилия, Бруней Даруссалам, Буркина-Фасо, Бурунди, Камбоджа, Кабо-Верде, Чили, Китай, Колумбия, Конго, Коста-Рика, Кот-д'Ивуар, Джибути, Доминика, Египет, Эль-Сальвадор, ОАЭ, Эквадор, Эритрея, Эфиопия, бывшая югославская республика Македония, Федеративная Россия, Фиджи, Габон, Гамбия, Грузия, Ганы, Гренада, Гватемала, Гвинея, Гвинея-Бисау, Гайана, Хондурас, Маршалловы Острова, Соломоновы Острова, Индия, Индонезия, Иран (Исламская Республика), Ирак, Ирак, Джамахирия, Ямайка, Иордания, Казахстан, Кения, Киргизия, Кувейт, Лесото, Ливан, Либерия, Мадагаскар, Малайзия, Малави, Мальдивы, Мали, Марокко, Маврикий, Мексика, Монголия, Монтенегро, Мозамбик, Мьянма, Намибия, Непал, Никарагуа, Нигерия, Оман, Ош, Пакистан, Панама, Парагвай, Перу, Филиппины, Сирийская Арабская Республика, Центральноафриканская Республика, Конго, Демократическая Республика Конго, Доминиканская Республика, Корейская Народная Демократическая Республика, Сент-Люсия, Сент-Китс и Невис, Сент-Винсент и Гренадины, Самоа, Сенегал, Сьерра-Леоне, Сингапур, Судан, Шри-Ланка, Суринам, Таджикистан, Того, Тринидад и Тобаго, Тунис, Туркменистан, Турция, Уругвай, Вануату, Вьетнам, Йемен, Замбия, Зимбабве","['sans avoir été mise aux voix', 'RÉSOLUTION', 'séance plénière']","['без голосования', 'РЕЗОЛЮЦИЯ', 'пленарное заседание']",1.0304226875305176,75.7396449704142
"62/89. Décennie internationale de la promotion d'une culture de la paix et de la non-violence au profit des enfants du monde, 2001-2010","62/89. Международное десятилетие культуры мира и ненасилия в интересах детей планеты, 2001-2010 годы","62/89. Международное десятилетие поощрения культуры мира и ненасилия в интересах детей мира, 2001-2010","[""Décennie internationale de la promotion d'une culture de la paix et de la non-violence au profit des enfants du monde""]",['Международное десятилетие культуры мира и ненасилия в интересах детей планеты'],0.9078292846679688,23.076923076923077
"L'Assemblée générale,","Генеральная Ассамблея,","Генеральная Ассамблея,",['Assemblée générale'],['Генеральная Ассамблея'],1.3165725469589233,0.0
"Ayant à l'esprit la Charte des Nations Unies, notamment les buts et principes qui y sont énoncés, en particulier la volonté affirmée de préserver les générations futures du fléau de la guerre,","принимая во внимание Устав Организации Объединенных Наций, в том числе воплощенные в нем цели и принципы, и особенно решимость избавить грядущие поколения от бедствий войны,","С учетом Устава Организации Объединенных Наций, в частности целей и принципов, изложенных в нем, и особенно с учетом заявленной воли сохранить будущие поколения от бедствия войны,",['Charte des Nations Unies'],['Устав Организации Объединенных Наций'],0.81116783618927,72.0
"Rappelant l'Acte constitutif de l'Organisation des Nations Unies pour l'éducation, la science et la culture, qui déclare que « les guerres prenant naissance dans l'esprit des hommes, c'est dans l'esprit des hommes que doivent être élevées les défenses de la paix »,","ссылаясь на Устав Организации Объединенных Наций по вопросам образования, науки и культуры, который гласит: «поскольку мысли о войне возникают в умах людей, поэтому в сознании людей следует укоренять идею защиты мира»,","Напоминая о Уставе Организации Объединенных Наций по вопросам образования, науки и культуры, в котором говорится, что «поскольку войны возникают в умах людей, то в умах людей должны быть подготовлены средства к миру»,",['Organisation des Nations Unies'],['Организация Объединенных Наций'],0.5927647352218628,54.83870967741935
"Rappelant également ses résolutions relatives à une culture de paix, en particulier la résolution 52/15 du 20 novembre 1997, par laquelle elle a proclamé l'année 2000 Année internationale de la culture de la paix, la résolution 53/25 du 10 novembre 1998, par laquelle elle a proclamé la période 2001-2010 Décennie internationale de la promotion d'une culture de la paix et de la non-violence au profit des enfants du monde, et les résolutions 56/5 du 5 novembre 2001, 57/6 du 4 novembre 2002, 58/11 du 10 novembre 2003, 59/143 du 15 décembre 2004, 60/3 du 20 octobre 2005 et 61/45 du 4 décembre 2006,","ссылаясь также на свои предыдущие резолюции о культуре мира, в частности на резолюцию 52/15 от 20 ноября 1997 года, в которой 2000 год провозглашается Международным годом культуры мира, резолюцию 53/25 от 10 ноября 1998 года, в которой период 2001-2010 годов провозглашается Международным десятилетием культуры мира и ненасилия в интересах детей планеты, и резолюции 56/5 от 5 ноября 2001 года, 57/6 от 4 ноября 2002 года, 58/11 от 10 ноября 2003 года, 59/143 от 15 декабря 2004 года, 60/3 от 20 октября 2005 года и 61/45 от 4 декабря 2006 года,","При этом также напоминая о своих резолюциях, касающихся культуры мира, в частности, о резолюции 52/15 от 20 ноября 1997 года, в которой она провозгласила 2000 год Международным годом культуры мира, о резолюции 53/25 от 10 ноября 1998 года, в которой она провозгласила период 2001-2010 годов Международным десятилетием поощрения культуры мира и ненасилия в интересах детей мира, и о резолюциях 56/5 от 5 ноября 2001 года, 57/6 от 4 ноября 2002 года, 58/11 от 10 ноября 2003 года, 59/143 от 15 декабря 2004 года, 60/3 от 20 октября 2005 года и 61/45 от 4 декабря 2006 года,","['RÉSOLUTION', ""Décennie internationale de la promotion d'une culture de la paix et de la non-violence au profit des enfants du monde""]","['РЕЗОЛЮЦИЯ', 'Международное десятилетие культуры мира и ненасилия в интересах детей планеты']",0.8546178340911865,25.555555555555554
"Réaffirmant la DéclarationRésolution 53/243 A. et le Programme d'actionRésolution 53/243 B. en faveur d'une culture de paix, dont elle considère qu'ils doivent notamment servir de base à la célébration de la Décennie, et convaincue que la célébration effective et concluante de celle-ci partout dans le monde contribuera à promouvoir une culture de paix et de non-violence pour le bien de l'humanité, en particulier celui des générations à venir,","вновь подтверждая ДекларациюРезолюция 53/243 А. и Программу действийРезолюция 53/243 В. в области культуры мира, признавая, что они, в частности, служат основой для проведения Десятилетия, и будучи убеждена в том, что эффективное и успешное проведение Десятилетия во всех странах мира будет содействовать пропаганде культуры мира и ненасилия, которая отвечает интересам человечества, в том числе грядущих поколений,","Повторно подтверждая ДекларациюРезолюция 53/243 A. и Программу действийРезолюция 53/243 B. в поддержку культуры мира, которые, по ее мнению, должны служить в частности основой для празднования Десятилетия, и убеждена, что эффективное и успешное празднование этого Десятилетия во всем мире будет способствовать продвижению культуры мира и ненасилия на благо человечества, в частности будущих поколений,",['RÉSOLUTION'],['РЕЗОЛЮЦИЯ'],0.7324417233467102,54.54545454545454
"Rappelant la Déclaration du MillénaireVoir résolution 55/2., qui appelle à promouvoir activement une culture de paix,","ссылаясь на Декларацию тысячелетия Организации Объединенных НацийСм. резолюцию 55/2., в которой содержится призыв активно поощрять культуру мира,","Напоминая о Декларации тысячелетия, см. резолюцию 55/2, которая призывает активно содействовать развитию культуры мира,",['RÉSOLUTION'],['РЕЗОЛЮЦИЯ'],0.7124223709106445,88.23529411764706
"Prenant note de la résolution 2000/66 de la Commission des droits de l'homme, en date du 26 avril 2000, intitulée « Vers une culture de la paix »Voir Documents officiels du Conseil économique et social, 2000, Supplément no 3 et rectificatif (E/2000/23 et Corr.1), chap. II, sect. A.,","принимая к сведению резолюцию 2000/66 Комиссии по правам человека от 26 апреля 2000 года, озаглавленную «На пути к культуре мира»См. Официальные отчеты Экономического и Социального Совета, 2000 год, Дополнение № 3 и исправление (Е/2000/23 и Corr.1), глава II, раздел А.,","Принимая к сведению резолюцию 2000/66 Комиссии по правам человека от 26 апреля 2000 года, озаглавленную «На пути к культуре мира» см. Официальные документы Экономического и Социального Совета, 2000, дополнение № 3 и исправление (E/2000/23 и Corr.1), гл. II, разд. A.","['RÉSOLUTION', 'Сonseil économique et social', 'Prenant note']","['РЕЗОЛЮЦИЯ', 'Экономический и Социальный Совет', 'принимая к сведению']",0.821453869342804,22.5
"Prenant acte du rapport du Secrétaire général sur la Décennie internationale de la promotion d'une culture de la paix et de la non-violence au profit des enfants du mondeA/56/349., notamment son paragraphe 28 dans lequel il est indiqué que chacune des années de la Décennie sera placée sous le signe d'un thème prioritaire différent se rapportant au Programme d'action,","принимая к сведению также доклад Генерального секретаря о Международном десятилетии культуры мира и ненасилия в интересах детей планетыА/56/349., в том числе пункт 28 этого доклада, в котором указывается, что деятельность в течение каждого года Десятилетия будет посвящена отдельной приоритетной теме, связанной с Программой действий,","Принимая к сведению доклад Генерального секретаря о Международном десятилетии поощрения культуры мира и ненасилия в интересах детей мира A/56/349, в частности его пункт 28, в котором говорится, что каждый год Десятилетия будет посвящен различным приоритетным темам, относящимся к Программе действий,","[""Décennie internationale de la promotion d'une culture de la paix et de la non-violence au profit des enfants du monde"", 'Secrétaire général']","['Международное десятилетие культуры мира и ненасилия в интересах детей планеты', 'Генеральный секретарь']",0.7242593169212341,50.0
